,address,price,url,lat,lng,beds
0,4102 Westchester Rdg NE #4102,"189,990",30329,33.833538,-84.32682,1
1,345 Magnolia Walk Ln,"185,000",30349,33.591022,-84.49623,3
2,2571 Loghaven Dr NW,"189,700",30318,33.760822,-84.47199,3
3,3302 Dogwood Dr #324,"180,000",30354,33.664017,-84.40747,2
4,3838 Uppark Dr,"181,865",30349,33.654552,-84.57131,4
5,1321 Lorenzo Dr SW,"180,000",30310,33.718975,-84.43306,4
6,420 Mulberry Row SE #1804,"185,475",30354,33.666103,-84.38278,2
7,7500 Roswell Rd #20,"189,000",30350,33.95914,-84.3667,2
8,1315 Bolton Rd NW,"185,000",30331,33.79141,-84.49283,5
9,725 Dalrymple Rd #4D,"180,000",30328,33.95447,-84.36373,3
10,3205 Pennington Cir SW,"184,999",30354,33.667244,-84.39213,4
11,5920 Morgan Rd,"186,900",30340,33.92682,-84.23423,4
12,1809 King Alfred Dr SW,"189,900",30331,33.705364,-84.51297,4
13,425 Chapel St SW #1206,"182,000",30313,33.752087,-84.400215,1
14,3098 Meadow Mere W,"185,000",30341,33.880905,-84.28202,3
15,725 Dalrymple Rd,"180,000",30328,33.95447,-84.36373,3
16,2840 Waters Rd SW,"189,700",30354,33.677,-84.39357,3
17,3154 Hazelwood Dr SW,"184,900",30311,33.72722,-84.491516,3
18,3668 Kingsboro Rd NE #5,"180,000",30319,33.854706,-84.35133,2
19,1208 Westchester Rdg NE,"189,800",30329,33.833363,-84.32421,1
20,620 Peachtree St NE #502,"189,999",30308,33.77206,-84.38602,1
21,5300 Peachtree Rd #503,"185,000",30341,33.890175,-84.304756,1
22,5300 Peachtree Rd,"185,000",30341,33.890175,-84.304756,1
23,87 Peachtree St SW #401,"185,000",30303,33.754482,-84.39055,1
24,4090 Fairburn Ave SW,"180,000",30331,33.691696,-84.52313,3
25,71 Montre Sq NW,"185,000",30327,33.819145,-84.42747,2
26,384 Ralph McGill Blvd NE #213,"189,000",30312,33.764515,-84.37505,1
27,425 Chapel St SW #1105,"180,000",30313,33.752087,-84.400215,1
28,425 Chapel St SW #1101,"180,000",30313,33.752087,-84.400215,1
29,5887 Grande River Rd,"185,000",30349,33.596848,-84.44409,3
30,518 Pegg Rd SW #1,"180,000",30315,33.688892,-84.40626,6
31,3261 Donnebrook Ln SE,"189,900",30354,33.66606,-84.367355,4
32,1104 Hubbard St SW,"180,000",30310,33.724712,-84.40221,3
33,518 Pegg Rd SW,"180,000",30315,33.688892,-84.40626,6
34,425 Chapel St SW #1407,"186,400",30313,33.752087,-84.400215,1
35,2144 Park Ter,"185,000",30337,33.66068,-84.45954,2
36,2592 Riggs Dr,"189,900",30344,33.684597,-84.46596,3
37,690 Piedmont Ave NE #17,"189,900",30308,33.77332,-84.38212,1
38,4949 Antelope Cv,"183,000",30349,33.629635,-84.54718,3
39,1311 Wichita Dr SW,"189,999",30311,33.72021,-84.442215,3
40,6900 Roswell Rd #N3,"189,900",30328,33.943096,-84.37434,2
41,6112 Santa Fe Pkwy,"180,000",30350,33.964348,-84.370636,3
42,2308 Boulevard Granada SW,"180,000",30311,33.72117,-84.46456,3
43,795 Hammond Dr #801,"189,900",30328,33.91749,-84.3594,2
44,400 17th St NW #2320,"182,900",30363,33.789234,-84.402084,1
45,3012 Washington Rd,"184,900",30344,33.672955,-84.45537,2
46,1365 Joseph E Boone Blvd NW,"189,900",30314,33.763783,-84.43244,0
47,1468 Briarwood Rd NE #607,"185,000",30319,33.849335,-84.33049,1
48,5400 Twin Lakes Dr,"186,900",30349,33.604176,-84.478134,4
49,424 Dorsey Rd,"180,000",30354,33.666885,-84.40156,3
50,400 17th St #2124,"189,900",30363,33.7895,-84.401764,1
51,2194 Brannen Rd SE,"180,000",30316,33.715305,-84.31509,3
52,1280 W Peachtree St NW #3010,"189,900",30309,33.789707,-84.388115,1
53,6249 Centennial Ln #19,"184,670",30349,33.587482,-84.47439,1
54,2525 Sylvan Rd,"180,000",30344,33.686073,-84.41897,2
55,805 Brighton Pt,"180,000",30328,33.957367,-84.36576,2
56,795 Hammond Dr #2307,"185,000",30328,33.91749,-84.3594,1
57,968 Jett St NW,"185,000",30314,33.76691,-84.4193,3
58,2227 Carey Dr SE,"180,000",30315,33.693333,-84.3703,5
59,707 Francis Pl NW,"189,900",30318,33.774082,-84.437515,4
60,6900 Roswell Rd #F12,"184,000",30328,33.943096,-84.37434,2
61,2795 Hedgewood Dr NW,"189,900",30311,33.758183,-84.479416,3
62,1551 Belmont Ave SW,"180,000",30310,33.71277,-84.41021,2
63,1280 W Peachtree St NW #1104,"189,900",30309,33.789707,-84.388115,1
64,390 17th St NW #2052,"187,400",30363,33.790318,-84.3995,1
65,3006 Dogwood Dr,"184,900",30354,33.67275,-84.40811,3
66,6241 Centennial Ln #17,"182,850",30349,33.5876,-84.474396,3
67,257 Barfield Ave SW,"180,405",30310,33.748768,-84.4621,3
68,1966 Tiger Flowers Dr NW,"184,900",30314,33.759834,-84.45156,3
69,6253 Centennial Ln #20,"188,850",30349,33.58742,-84.47439,3
70,3992 Withrow Dr,"185,000",30340,33.919453,-84.2521,0
71,6225 Centennial Ln #13,"188,850",30349,33.587833,-84.474396,3
72,6237 Centennial Ln #16,"184,670",30349,33.587666,-84.474396,3
73,5300 Peachtree Rd #311,"180,000",30341,33.890175,-84.304756,1
74,425 Chapel St SW #2203,"184,900",30313,33.752083,-84.400215,1
75,1280 W Peachtree St NW #3202,"184,500",30309,33.789707,-84.388115,1
76,3114 Spreading Oak Dr SW,"185,000",30311,33.730232,-84.490105,3
77,833 Harwell Rd NW,"184,900",30318,33.77817,-84.49467,3
78,2840 Peachtree Rd NW #307,"189,900",30305,33.832855,-84.3848,2
79,1679 Emerald Ave SW,"184,900",30310,33.742683,-84.442726,3
80,695 Hutchens Rd SE,"182,900",30354,33.66806,-84.36659,4
81,1510 Mims St SW,"180,000",30314,33.749355,-84.43695,5
82,2870 Pharr Court South NW,"183,000",30305,33.83418,-84.3867,1
83,226 Scott St NW,"189,900",30314,33.76126,-84.432655,4
84,5420 Winters Chapel Rd,"187,500",30360,33.955086,-84.27263,0
85,6980 Roswell Rd #B15,"180,000",30328,33.945118,-84.37297,2
86,295 Lincoln St SW,"187,000",30315,33.71324,-84.39849,3
87,6700 Roswell Rd #19B,"186,000",30328,33.93951,-84.37703,2
88,1440 Ezra Church Dr NW,"189,000",30314,33.756306,-84.43452,4
89,2870 Pharr Court South NW #1404,"183,000",30305,33.83418,-84.3867,1
90,1585 Chattahoochee Ct #C,"189,900",30349,33.605366,-84.44526,4
91,606 W Lake Ave NW,"180,000",30318,33.772156,-84.4424,2
92,402 Brighton Pt,"182,000",30328,33.95641,-84.36566,2
93,513 Atwood St SW,"180,000",30310,33.741028,-84.42919,4
94,620 Peachtree St NE #709,"185,000",30308,33.77206,-84.38602,1
95,1225 Graymont Dr SW,"180,000",30310,33.72173,-84.43682,3
96,10 Perimeter Summit Blvd NE #3215,"189,900",30319,33.914104,-84.34094,2
97,1880 Dove Dr SW,"188,000",30331,33.70423,-84.54879,3
98,1280 W Peachtree St NW #2904,"189,000",30309,33.789707,-84.388115,1
99,1904 Main St NW #5,"180,000",30318,33.80715,-84.4669,0
100,1625 Orlando St SW,"185,000",30311,33.72627,-84.440926,3
101,1789 Taylor Ave,"189,000",30344,33.673683,-84.44721,5
0,6801 Fireside Ln,"198,000",30349,33.640537,-84.61061,4
1,5442 Waverly Park,"197,320",30349,33.604446,-84.52592,4
2,5482 Waverly Park,"194,490",30349,33.604446,-84.52592,4
3,5497 Waverly Park,"193,990",30349,33.604446,-84.52592,4
4,1595 Melrose Dr SW,"199,000",30310,33.71133,-84.42226,3
5,287 Silver Springs Cir SW,"199,900",30310,33.747997,-84.465614,3
6,1879 Johnson Rd NE #3,"199,900",30306,33.80399,-84.33857,2
7,1250 Parkwood Cir SE #3105,"194,000",30339,33.90039,-84.46015,2
8,841 Frederica St NE #23,"199,500",30306,33.777477,-84.35467,1
9,96 Cleveland Ave,"195,900",30315,33.68063,-84.39182,5
