address,zipcode,lat,lng,beds,price,Restau,crime,scaleprice,scalefood,scalecrime
460 Carondelett Cv SW #3,30331,33.73435,-84.54238,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
480 Carondelett Cv SW #1,30331,33.733776,-84.5431,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
440 Carondelett Cv SW #5,30331,33.73547,-84.54229,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
500 Carondelett Cv SW #24,30331,33.73384,-84.54397,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
3058 Jonesboro Rd SE,30354,33.67119,-84.372055,2,55000,449,1621,-0.6335938363695192,-0.5756499012933618,-0.6976995105731756
410 Carondelett Cv SW #8,30331,33.736637,-84.54207,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
2114 Tupelo St,30317,33.75,-84.3171,0,55000,740,1095,-0.6335938363695192,0.09988577397181077,-0.8695493058686395
1971 Akron Dr SE,30315,33.6998,-84.35287,3,52000,361,6783,-0.6374048276579528,-0.7799356037790497,0.9887807999119673
2204 Pinehurst Dr,30344,33.694885,-84.45271,2,53000,482,27,-0.6361344972284749,-0.49904276286122884,-1.218476266658669
4260 Somerset Cir SW,30331,33.66093,-84.52797,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
4431 Rolling Hill Rd SW,30331,33.68841,-84.5328,3,58500,49,6204,-0.6291476798663467,-1.504221276228307,0.7996153408319794
Dorsey St,30310,33.7283,-84.4234,0,50000,630,6915,-0.6399454885169086,-0.15547135413529914,1.0319066040545553
2313 Barrington Trace Cir SW,30331,33.687195,-84.55096,0,55000,49,6204,-0.6335938363695192,-1.504221276228307,0.7996153408319794
Mobile St N,30314,33.757,-84.4262,0,59000,939,4681,-0.6285125146516077,0.5618500330019459,0.30203504000499903
1322 Gus Thornhill Jr Dr,30344,33.677326,-84.432205,2,59000,482,27,-0.6285125146516077,-0.49904276286122884,-1.218476266658669
Hiawassee Dr,30311,33.7238,-84.4745,0,50000,171,5201,-0.6399454885169086,-1.2210070068731487,0.4719245714757999
74 Park Ave SE #323,30315,33.71177,-84.38502,0,55000,361,6783,-0.6335938363695192,-0.7799356037790497,0.9887807999119673
74 Park Ave SE,30315,33.71177,-84.38502,0,55000,361,6783,-0.6335938363695192,-0.7799356037790497,0.9887807999119673
195 Arcadia Cir NW,30314,33.759525,-84.425644,3,59000,939,4681,-0.6285125146516077,0.5618500330019459,0.30203504000499903
2507 Ryne St NW,30318,33.76797,-84.46924,2,58000,403,11424,-0.6297828450810856,-0.6824356094108804,2.5050448682888655
2812 Sylvan Rd,30344,33.678337,-84.418396,0,50000,482,27,-0.6399454885169086,-0.49904276286122884,-1.218476266658669
1267 Elizabeth Ave SW,30310,33.7205,-84.43583,0,50000,630,6915,-0.6399454885169086,-0.15547135413529914,1.0319066040545553
1267 Elizabeth Ave SW #137,30310,33.7205,-84.43583,0,50000,630,6915,-0.6399454885169086,-0.15547135413529914,1.0319066040545553
460 Carondelett Cv SW,30331,33.73435,-84.54238,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
440 Carondelett Cv SW,30331,33.73547,-84.54229,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
500 Carondelett Cv SW,30331,33.73384,-84.54397,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
480 Carondelett Cv SW,30331,33.733776,-84.5431,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
410 Carondelett Cv SW,30331,33.736637,-84.54207,0,59900,49,6204,-0.6273692172650777,-1.504221276228307,0.7996153408319794
184 Hemphill School Rd NW,30331,33.76066,-84.50101,2,50000,49,6204,-0.6399454885169086,-1.504221276228307,0.7996153408319794
1268 Lockwood Dr SW,30311,33.720585,-84.438446,0,59900,171,5201,-0.6273692172650777,-1.2210070068731487,0.4719245714757999
179 Joe Louis Dr NW,30314,33.75906,-84.45951,2,52000,939,4681,-0.6374048276579528,0.5618500330019459,0.30203504000499903
269 Aurora Ave NW,30314,33.762604,-84.45436,3,50000,939,4681,-0.6399454885169086,0.5618500330019459,0.30203504000499903
Waterford Rd,30318,33.7904,-84.44,0,55000,403,11424,-0.6335938363695192,-0.6824356094108804,2.5050448682888655
S Eugenia Pl,30318,33.7905,-84.44,0,50000,403,11424,-0.6399454885169086,-0.6824356094108804,2.5050448682888655
493 Mount Zion Rd SW,30354,33.67328,-84.40494,0,54900,449,1621,-0.633720869412467,-0.5756499012933618,-0.6976995105731756
Dimmock,30310,33.7282,-84.4234,0,50000,630,6915,-0.6399454885169086,-0.15547135413529914,1.0319066040545553
Dimmock St,30310,33.7283,-84.4234,0,50000,630,6915,-0.6399454885169086,-0.15547135413529914,1.0319066040545553
Dimmock #Rear,30310,33.7282,-84.4234,0,50000,630,6915,-0.6399454885169086,-0.15547135413529914,1.0319066040545553
2601 Woodrow St NW,30318,33.774216,-84.47186,0,50000,403,11424,-0.6399454885169086,-0.6824356094108804,2.5050448682888655
S Eugenia,30318,33.7905,-84.44,0,50000,403,11424,-0.6399454885169086,-0.6824356094108804,2.5050448682888655
6 Springside Dr SW,30354,33.67735,-84.39084,2,50000,449,1621,-0.6399454885169086,-0.5756499012933618,-0.6976995105731756
1773 Tiger Flowers Dr NW,30314,33.760025,-84.44501,2,55000,939,4681,-0.6335938363695192,0.5618500330019459,0.30203504000499903
4051 Annecy Dr SW,30331,33.703495,-84.52814,0,58000,49,6204,-0.6297828450810856,-1.504221276228307,0.7996153408319794
Barrett Dr NW #21,30318,33.7905,-84.44,0,57250,403,11424,-0.630735592903194,-0.6824356094108804,2.5050448682888655
1763 Whitehall Forest Ct SE #1763,30316,33.68423,-84.312996,2,59000,365,2212,-0.6285125146516077,-0.7706498900297003,-0.5046135238438615
2520 Judson Ave,30344,33.692112,-84.470825,2,52000,482,27,-0.6374048276579528,-0.49904276286122884,-1.218476266658669
84 Cleveland Ave SW,30315,33.68129,-84.38585,3,65000,361,6783,-0.6208905320747405,-0.7799356037790497,0.9887807999119673
354 Betsy Ave SW,30310,33.747147,-84.45784,2,65000,630,6915,-0.6208905320747405,-0.15547135413529914,1.0319066040545553
2468 Connally Dr,30344,33.693928,-84.46906,2,64600,482,27,-0.6213986642465317,-0.49904276286122884,-1.218476266658669
34 Dorothy St SE,30315,33.71039,-84.38339,2,65000,361,6783,-0.6208905320747405,-0.7799356037790497,0.9887807999119673
Bridges Ave,30310,33.7283,-84.4234,0,69900,630,6915,-0.614665912970299,-0.15547135413529914,1.0319066040545553
Bridges Ave SW,30310,33.7283,-84.4234,0,69900,630,6915,-0.614665912970299,-0.15547135413529914,1.0319066040545553
2825 3rd Ave SW,30315,33.677746,-84.40349,2,65000,361,6783,-0.6208905320747405,-0.7799356037790497,0.9887807999119673
335 Dollar Mill Rd SW,30331,33.745087,-84.52779,3,64900,49,6204,-0.6210175651176884,-1.504221276228307,0.7996153408319794
1373 Boat Rock Rd SW,30331,33.71828,-84.560745,0,65000,49,6204,-0.6208905320747405,-1.504221276228307,0.7996153408319794
3508 Ruby H Harper Blvd SE,30354,33.658962,-84.38012,3,60000,449,1621,-0.6272421842221299,-0.5756499012933618,-0.6976995105731756
2809 7th St SW,30315,33.67814,-84.40349,3,65000,361,6783,-0.6208905320747405,-0.7799356037790497,0.9887807999119673
977 Fleetwood Cir SW,30311,33.737453,-84.45981,0,69950,171,5201,-0.6146023964488251,-1.2210070068731487,0.4719245714757999
987 Fleetwood Cir SW,30311,33.737225,-84.45981,0,69990,171,5201,-0.614551583231646,-1.2210070068731487,0.4719245714757999
2810 Macon Dr SE,30354,33.67809,-84.3879,3,65000,449,1621,-0.6208905320747405,-0.5756499012933618,-0.6976995105731756
3210 Donnebrook Ln SE,30354,33.667767,-84.36681,3,68000,449,1621,-0.617079540786307,-0.5756499012933618,-0.6976995105731756
3234 Pebble Dr,30344,33.667812,-84.470436,4,69000,482,27,-0.6158092103568291,-0.49904276286122884,-1.218476266658669
945 Camilla St SW,30314,33.750607,-84.41856,0,69900,939,4681,-0.614665912970299,0.5618500330019459,0.30203504000499903
605 Paines Ave NW,30318,33.77117,-84.4142,2,60000,403,11424,-0.6272421842221299,-0.6824356094108804,2.5050448682888655
2081 Morehouse Dr NW,30314,33.761623,-84.45547,3,65000,939,4681,-0.6208905320747405,0.5618500330019459,0.30203504000499903
1135 Isa Dr SE,30315,33.70021,-84.35164,3,65000,361,6783,-0.6208905320747405,-0.7799356037790497,0.9887807999119673
95 Meldon Ave SE,30315,33.711353,-84.38779,2,65000,361,6783,-0.6208905320747405,-0.7799356037790497,0.9887807999119673
1651 Van Vleck Ave SE #13,30316,33.735847,-84.33375,0,60000,365,2212,-0.6272421842221299,-0.7706498900297003,-0.5046135238438615
2142 Jernigan Dr SE,30315,33.695694,-84.372025,4,68900,361,6783,-0.6159362433997769,-0.7799356037790497,0.9887807999119673
801 Hall St NW,30318,33.77693,-84.46569,0,65000,403,11424,-0.6208905320747405,-0.6824356094108804,2.5050448682888655
862 Ridge Ave NW,30318,33.778534,-84.46907,3,62900,403,11424,-0.6235582259766441,-0.6824356094108804,2.5050448682888655
Collier St,30314,33.757,-84.4262,0,60000,939,4681,-0.6272421842221299,0.5618500330019459,0.30203504000499903
253 W Lake Ave NW,30314,33.761745,-84.44131,0,60500,939,4681,-0.6266070190073909,0.5618500330019459,0.30203504000499903
3371 Ruby H Harper Blvd SE,30354,33.663494,-84.38076,3,64900,449,1621,-0.6210175651176884,-0.5756499012933618,-0.6976995105731756
719 Matilda Pl NW,30318,33.774452,-84.44269,0,65000,403,11424,-0.6208905320747405,-0.6824356094108804,2.5050448682888655
3140 Mayo Pl SW,30311,33.6964,-84.49586,3,61500,171,5201,-0.6253366885779131,-1.2210070068731487,0.4719245714757999
556 Lake Dr,30354,33.66676,-84.40732,2,65000,449,1621,-0.6208905320747405,-0.5756499012933618,-0.6976995105731756
Nash Rd,30331,33.7102,-84.5341,0,60000,49,6204,-0.6272421842221299,-1.504221276228307,0.7996153408319794
678 Commercial Ave NW,30318,33.773346,-84.471565,2,65000,403,11424,-0.6208905320747405,-0.6824356094108804,2.5050448682888655
1549 Orlando St SW,30311,33.724827,-84.439705,0,60000,171,5201,-0.6272421842221299,-1.2210070068731487,0.4719245714757999
2380 Hill St NW,30318,33.779694,-84.46492,2,65000,403,11424,-0.6208905320747405,-0.6824356094108804,2.5050448682888655
2157 W Cedar Ln SW,30311,33.712265,-84.45944,0,64900,171,5201,-0.6210175651176884,-1.2210070068731487,0.4719245714757999
190 Anderson Ave NW,30314,33.759754,-84.450714,0,60000,939,4681,-0.6272421842221299,0.5618500330019459,0.30203504000499903
