Name,zip_code
Tastee Spoon,30346
Tin Roof Cantina,30329
Hook Line & Schooner,30080
Hot Melody 煮烤官,30340
Philly Cheesesteak Place,30324
D.B.A. Barbecue,30306
Outback Steakhouse,30329
Vickery's Bar & Grill - Glenwood Park,30316
Wyatt's Diner,30317
LanZhou Ramen,30340
TakoBAR,30308
Crazy Atlanta,30303
Johnny Rockets,30313
285 West Soul Food Restaurant,30311
Johnny's Hideaway,30342
My Potato Factory,30303
Octopus Bar,30316
Buenos Dias Cafe,30303
Jalisco Mexican Restaurant,30305
Blaze Fast-Fire'd Pizza,30318
Joe's On Juniper,30309
Revival,30030
Atkins Park Restaurant,30312
Land of a Thousand Hills Coffee,30363
Maggiano's Little Italy,30339
Atlas,30305
La Casona Colombian Restaurant,30340
6am,30329
Pour Kitchen + Bar,30319
El Progreso,30315
BYTES Restaurant,30308
Pao Pao Ramen Factory And Bar,30329
Yalla,30308
Leon's Full Service,30030
Elmyriachi,30317
Iron Age Korean Steak House,30342
Le Bilboquet,30305
Kimball House,30030
Zoes Kitchen,30305
On the Roll - Maine Lobster,30340
Smoke + Duck Sauce,30339
Watershed on Peachtree,30309
Art Cafe,30313
Little Azio,30316
Ali Baba Cafe,30303
Sushi Matsuya,30329
Drafts + Dogs,30308
Pancho's Mexican Restaurant & Cantina,30324
Meehan's Public House,30339
Antica Posta Ristorante Toscano,30305
Midtown Moon,30309
Zaxby's Chicken Fingers & Buffalo Wings,30308
 Gruby's New York Deli,30342
Proof and Provision,30308
MetroFresh,30308
Urban Cannibals,30308
Little Azio,30318
Ruchi Bangladeshi Cuisine,30341
Buckhead Pizza,30326
Mellow Mushroom,30308
Hudson Grille,30319
El Azteca Mexican Restaurant,30309
Gus's World Famous Fried Chicken,30341
Raduni Indian Cuisine,30345
Mt Paran Country Store,30327
Southern Bistro,30342
Taco Mac,30309
Imperial Fez,30309
Mediterranea,30315
One Eared Stag,30307
Saltwood Charcuterie & Bar,30309
City Winery,30308
Elder Tree Public House,30316
Sushi Bar Sarku Japan,30326
Hopstix,30341
Chai Yo Modern Thai,30305
Three Dollar Cafe,30342
Burger Theory,30345
Midcity Cafe,30308
Watchman's Seafood And Spirits,30307
Elmyr,30307
Poppin Pita Grill,30318
Pollo Campero,30329
Big Sky Buckhead,30305
Saint Germain,30308
Carroll Street Café,30312
Rosati's Pizza and Sports Pub,30342
Tilted Kilt Pub & Eatery,30339
Chopt Creative Salad Co.,30342
Streatery,30303
Simon's Restaurant,30308
gusto! West Midtown,30318
Suite Food Lounge,30313
Fresh To Order,30326
Thai Chili,30329
Hooters,30303
Mezcalito's Cocina & Tequila Bar,30312
The Cheesecake Factory,30339
Augustine's,30312
Eat Me Speak Me,30030
Midtown Plaza Cafe,30309
Mix'D UP Burgers,30317
Taqueria Taquito Express,30341
Souper Jenny,30305
The Euclid Avenue Yacht Club,30307
Pita Palace,30329
Xela Pan Cafe,30340
Farm To Ladle,30308
Harmony Vegetarian Restaurant,30341
La Generala,30345
Little 5 Corner Tavern,30307
HOKI Japanese Restaurant,30339
Sarpino's Pizzeria Buckhead,30324
Buford Highway Farmers Market,30340
Sub-Base Sandwich Shoppe,30341
Yard House,30339
IKEA Restaurant,30363
Bonefish Grill,30339
Bad Daddy's Burger Bar,30341
Tikka Masala,
ADios Cafe,30313
Southern Art,30326
Irie Mon Cafe,30309
McKinnon's Louisiane,30305
Swan Coach House,30305
The Federal,30309
Limerick Junction,30306
Hard Rock Cafe,30303
Garden & Gun Club,30339
Octane Westside,30318
ROOM at Twelve,30308
The Pullman,30317
Shoya Izakaya,30360
Atlantis Restaurant & Lounge,30324
Sushi Kiku,30324
Bennett's Market & Deli,30312
The Halal Guys,30341
Zoës Kitchen,30307
Hudson Grille,30303
Kaldi's Coffee Roasting - The Depot,30322
Cru,30339
Dope Cheff,33101
Blaze Fast-Fire'd Pizza,30033
My Sister's Room,30309
Vero Pizzeria,30319
Red Light Cafe,30306
LongHorn Steakhouse,30329
The One Sushi +,30319
Formaggio Mio,30329
Fresh Treats Gourmet Bistro,30032
Carniceria Ramirez,30318
Goldbergs Fine Foods - Buckhead,30342
Pizza Semplice,30345
LongHorn Steakhouse,30324
Tava Indian Bistro,30033
The Albert,30307
Meehan's Public House,30363
Chris' Pizza,30329
Flatiron Restaurant & Bar,30316
Bangkok Thyme,30342
The Spinning Pie,30313
Whisky Mistress,30305
La Fonda Latina,30307
Kenley's,30303
Depalma's Porch,30318
Another Broken Egg Cafe,30305
Caribbean Chicken & Fish,30079
Floataway Cafe,30306
Phat Phish Café,30316
Bareburger,30308
Bigelow's Bar & Grill,30316
The White House Restaurant,30305
Southern Seafood,30033
Kura Revolving Sushi Bar,30360
BLU Cantina,30316
The Flying Biscuit Cafe,30307
Afrodish Restaurant,30303
Java Cats Cafe,30312
Sensational Subs,30303
Louisiana Seafood,30311
Ali Baba,30303
Octane Woodruff Arts Center,30309
Fellini's Pizza,30342
Pop's Soulfood Kitchen,30310
Cinco Mexican Cantina,30339
Octane Atlanta Tech Village,30305
MOTHER,30312
El Super Pan The Battery Atlanta,30339
Baker Dude Bakery Cafe,30315
Rosa's Pizza,30303
Canton House,30341
Papi's Cuban & Caribbean Grill,30329
